Title,Date,Start Time,End Time,Location,Description
1327 Finding Harmony in Addressing Social Determinants of Health in the Pharmacy Setting,2025-03-22,13:00:00,15:00:00,Exhibit Hall D - Music City Center,"Social determinants of health (SDoH) account for 50-60% of health outcomes.  Pharmacists are uniquely positioned to screen for adverse SDoH, or social risks, and address social needs, the conditions an individual seeks assistance with immediately. However, previous research has demonstrated that pharmacists lack confidence and experience performing this screening. This session will review the results of survey of Alabama pharmacist current screening and referral activities, awareness of resources, willingness to implement SDoH services, and attitudes regarding SDoH services and the impact of a continuing education (CE) webinar on these areas."
1209 Patient Satisfaction and Self-Reported Understanding with Pharmacist-Led Interventions for Travel Medicine,2025-03-22,13:00:00,15:00:00,Exhibit Hall D - Music City Center,"International travel is a prevalent activity for millions of Americans, with over 98.5 million citizens traveling abroad in 2023. The World Health Organization emphasizes the importance of seeking healthcare advice one to two months prior to travel to ensure optimal immunization responses and the timely initiation of necessary medications. Community pharmacists, trained in travel health, can significantly enhance patient care by providing timely vaccinations, medications, and health supplies tailored to individual travel needs. 

The primary objective of this study is to evaluate patients’ understanding of travel-related health information after exposure to a pharmacist-led travel consultation.  

The secondary objective of this study is to measure patient’s’ satisfaction with a pharmacist-led travel consultation."
1070 A qualitative analysis of rural community vaccination barriers during the COVID-19 pandemic,2025-03-22,13:00:00,15:00:00,Exhibit Hall D - Music City Center,"Despite wide availability of vaccines and immunization services, outbreaks of vaccine-preventable diseases continue to occur. Rural United States residents experience increased disparity of care for both general healthcare services and access to routine vaccines.  Previous rural research has indicated a 40% lower mean vaccination rate in rural communities, as compared to urban counterparts.  Having a better understanding regarding lower vaccination rates in rural areas could help government and public health officials address vaccine hesitancy and be prepared to address future pandemics.  This research sought to evaluate the opinions of people who live and work in rural areas regarding barriers to COVID-19 vaccine uptake."
1263 Economic Burden of Antimicrobial Treatments for Pseudomonas Aeruginosa in Cystic Fibrosis: A Systematic Review of Tobramycin and Levofloxacin,2025-03-22,13:00:00,15:00:00,Exhibit Hall D - Music City Center,"Background: Cystic fibrosis (CF) is a chronic, genetic disorder primarily affecting the respiratory, digestive, and reproductive systems. There are approximately 40,000 patients, including children and adults, in the United States, and 1,000 new cases occur every year. CF patients are left vulnerable to multiple challenges due to chronic pulmonary Pseudomonas aeruginosa infections. Although there are multiple antimicrobial agents available for treatment, the alerting rise of antibiotic resistance of P. aeruginosa necessitated evaluating the cost-effectiveness of treatment options.

Objectives: This systematic literature review aims to identify treatment patterns of lung infections caused by P. aeruginosa in CF patients and evaluate the economic impacts of different antimicrobial treatment options."
1365 Assessing College Students� Awareness and Misconceptions about Vaping: Implications for Community Pharmacy Smoking Cessation Programs,2025-03-22,13:00:00,15:00:00,Exhibit Hall D - Music City Center,"This project aims to assess the awareness and misconceptions related to vaping among undergraduate and graduate students at an independent pharmacy, with the goal of improving community pharmacy-led smoking cessation programs. Vaping, particularly the use of e-cigarettes, has become increasingly prevalent among young adults aged 18-24, with higher rates of use in this age group compared to other adults. Despite the health risks, including nicotine addiction, impaired brain development, and exposure to harmful chemicals found in vape aerosols, many young adults remain unaware of the full scope of dangers associated with vaping. Furthermore, community pharmacies have long been established as key players in delivering smoking cessation services, but there is a lack of specific guidelines targeting vaping cessation. This study seeks to address these gaps by evaluating students’ understanding of vaping-related health risks, identifying common misconceptions, and assessing their awareness of community pharmacy smoking cessation resources."
1288 Impact of Direct Scheduling by Pharmacists on Patient Acceptance of Pharmacist-provided Referral for Dietitian Services,2025-03-22,13:00:00,15:00:00,Exhibit Hall D - Music City Center,"The study objective is to measure the effectiveness of direct patient scheduling by community pharmacists to engage patients in attending dietitian appointments after pharmacist referral. Registered dietitians provide services such as nutritional assessment, meal planning, medical nutrition therapy, lifestyle coaching, and weight management programming. Dietitian referrals are beneficial for patients who are starting a new medication for a nutrition-related condition (i.e. weight management, diabetes, heart disease, gastrointestinal disease), have been denied medications for a nutrition-related condition, have questions about food choices for managing a medical condition, have questions about drug-nutrient interactions, have been diagnosed with a food allergy, sensitivity, or intolerance, are looking for meal or snack ideas that fit their cultural and lifestyle needs, health goals, and budget, and for patients who may be food or nutrition insecure. The accessibility of community pharmacists places them in a prime position to advocate for and facilitate whole-person healthcare. With referrals from pharmacists to registered dietitians, a pathway is created for patients to bridge the connection between food and medicine to holistically manage their health. At a large community pharmacy chain, standard practice is for pharmacists to recommend a dietitian consult to patients who may benefit from these services, with the patient responsible for later scheduling an appointment. As a new quality improvement initiative, pharmacists can directly schedule the initial dietitian appointment for a patient at the time of initial recommendation and following patient assent, with the goal of streamlining the process for the patient and increasing the likelihood of appointment attendance. This study will assess patient perceptions of these pharmacist-facilitated dietitian appointments through a voluntary survey."
1004 Bridging the Gap: Addressing Racial Disparities in Treatment Outcomes for Second-Degree Heart Block,2025-03-22,13:00:00,15:00:00,Exhibit Hall D - Music City Center,"Background: Coronary heart disease affects 18.2 million Americans, with only 3% (540,000) diagnosed with second-degree heart block, a rare condition characterized by intermittent failure of electrical signals between the atria and ventricles. Although a majority of patients are White (60%), Black patients with heart block make up a substantial proportion (30%). Racial disparities in diagnostic and treatment patterns for second-degree heart block remain poorly understood. This study aimed to examine racial differences in treatment patterns, specifically in pacemaker implantation and syncope related hospitalizations among patients with second-degree heart block."
1088 Impact of community health worker and pharmacy technician vaccine hesitancy education on influenza vaccination,2025-03-22,13:00:00,15:00:00,Exhibit Hall D - Music City Center,"Objective: The primary objective of this study is to assess the effectiveness of a pharmacy-based community health worker pharmacy technician vaccine hesitancy intervention in closing pneumococcal immunization gaps.

Background: The influenza virus that accompanies the annual flu season causes approximately 9.3 – 41 million illnesses, 100,000 – 710,000 hospitalizations, and 4,900 – 51,000 deaths among U.S. adults per year despite the availability of effective vaccines. Vaccinations are one of the most cost-effective medical treatments known, yet healthcare providers struggle to bring this message to patients and struggle to provide those vaccinations, particularly in vulnerable populations. Previous health care provider surveys identified gaps in provider knowledge about and understanding of the adult influenza vaccine recommendations, and influenza vaccine coverage remains suboptimal. Community health workers integrated into community pharmacies help bridge this gap through education on vaccine hesitancy and have been shown to improve vaccination rates in pilot programs. Community Pharmacy Enhanced Services Network (CPESN) Missouri implemented a Pharmacy Vaccine Gap Closure Program providing vaccine hesitancy education through cross trained community health worker pharmacy technicians January 2024 – July 2024. Patients completed a questionnaire that gathered demographic information, health-related social needs, existing health conditions, and current vaccination eligibility during the educational intervention."
1034 Analysis of the Differences between Glucose Management Indicator (GMI) and A1c Tests to Determine Continuous Glucose Monitor Accuracy,2025-03-22,13:00:00,15:00:00,Exhibit Hall D - Music City Center,Hemoglobin A1c readings are utilized to give both healthcare providers and patients a clearer picture of how well their diabetes is being managed over time. Blood glucose trends can be gathered either by continuous glucose monitors (CGMs) or traditional finger stick blood glucose monitors (BGM). CGMs provide real-time monitoring of blood glucose levels over a two-week period and offer a more user-friendly solution for patients compared to traditional methods. The aim of this study is to evaluate the accuracy of CGMs in predicting A1c levels by comparing the two-week Glucose Management Indicator (GMI) to the A1C readings thereby assessing their continued potential as reliable tools for long-term glycemic management.
1268 Evaluating Patient Satisfaction and Perceived Economic Impact of Long-Acting Injectable Administration by Pharmacists in a Community Pharmacy Setting,2025-03-22,13:00:00,15:00:00,Exhibit Hall D - Music City Center,"The primary objective of this study is to evaluate patient satisfaction with pharmacist-administered long-acting injectables (LAIs), specifically Abilify Maintena, Invega Sustenna, and Risperdal Consta, in community pharmacies, compared to alternative locations such as physician offices or mental health clinics. The secondary objective is to assess the economic impact of pharmacist-administered LAIs in community pharmacies by examining factors such as patient costs, convenience, perceived savings, insurance coverage, and out-of-pocket expenses. Antipsychotic LAIs have been shown to improve adherence to medications essential for managing conditions like schizophrenia and bipolar disorder, where consistent medication use is critical for optimal outcomes. However, barriers such as cost, administration sites, and the need for initial success with oral forms of these medications continue to pose challenges. While most prior studies have focused on inpatient or specialized clinic settings, there is a gap in understanding the benefits of providing this service in community pharmacies. Additionally, limited data quantify the economic impacts of these services when compared to other settings. This study will explore these barriers through surveys, providing insights into the benefits of pharmacist-administered LAIs in community pharmacy settings while also demonstrating their potential to improve patient satisfaction and economic outcomes."
1249 Assessment of Patients� Perception and Impression of Long-Acting Injectable Buprenorphine Administration in the Community Pharmacy Setting,2025-03-22,13:00:00,15:00:00,Exhibit Hall D - Music City Center,"The primary objective of this study is to offer insight on patients’ perspectives regarding pharmacist administration of LAIB (Long-Acting Injectable Buprenorphine) in the community setting. From 2012 to 2022, opioid related deaths in Arizona have doubled from nearly 500 to over 1,914. The stigma associated with OUD treatment persists, particularly in communities with poor health literacy and significant barriers to healthcare access. The state has implemented additional resources for patients fighting opioid addiction, including increasing access to support groups, expansion of medication for opioid use disorder (MOUD), and a statewide campaign to increase treatment-seeking behavior to reduce the overall stigma of opioid use. To address some of these issues at the federal level, Congress passed and President Biden signed into law the Consolidated Appropriates Act of 2023 (CAA) (21 USC 823(g)(2) that expanded patient access to medications for OUD.  The law eliminated the patient panel restrictions on prescribers and allowed community pharmacists with appropriate state authority to dispense and administer LAIBs. This program was approved to assist with patient compliance and improve patient convenience. The Food and Drug Administration (FDA) requires all MOUDs to have an approved Risk Evaluation and Mitigation Strategy (REMS) program; the LAIB REMS includes the following: (1) How to obtain the LAIB, (2) Healthcare Provider REMS Letter, (3) Healthcare Setting and Pharmacy Enrollment Form, (4) REMS Document, (5) REMS Website. Other formulations of Buprenorphine (Buccal film and Transdermal patch) that have been FDA approved for the use in pain management also have the approval for use in OUD. The stigma associated with OUD treatment remains pertinent in communities where patients have poor health literacy and higher barriers to seeking healthcare."
1253 Bridging the Gap: Pharmacist Willingness for Prescribing Pre-Exposure Prophylaxis in Puerto Rico.,2025-03-22,13:00:00,15:00:00,Exhibit Hall D - Music City Center,"The primary objective of this study is to assess the willingness of pharmacists in Puerto Rico to prescribe pre-exposure prophylaxis (PrEP) for HIV. The secondary objective is to identify attitudes, comfort, concerns, and potential barriers regarding prescribing PrEP. The U.S. Department of Health and Human Services’ Ending the HIV Epidemic initiative seeks to significantly reduce new HIV infections by 2030. To meet this goal in Puerto Rico, new diagnoses must be reduced to a maximum of 1.6 cases per 100,000 inhabitants per year by 2030. Conversely, the most current available data reveals that the incidence rates is 13 cases per 100,000 inhabitants in 2022. A key strategy to attain this objective involves preventing new infections. PrEP offers individuals at risk a medication-based option for preventing HIV infection. However, access remains a significant challenge in Puerto Rico since HIV prevention services are mostly concentrated in the Metropolitan area. This results in limited access and health disparities amongst marginalized minority populations living in rural areas. Considering the extensive network of approximately 873 pharmacies across Puerto Rico, pharmacists are exceptionally well-positioned to serve as frontline healthcare providers. Nevertheless, pharmacists in Puerto Rico are not authorized to prescribe PrEP. Leveraging pharmacists’ accessibility to the public, they can play a crucial role in bridging gaps in HIV prevention services, particularly by facilitating access to PrEP. Such a collaborative effort could significantly advance the collective mission of ending the HIV epidemic. However, to effectively move forward with such initiative, it is imperative to assess factors that impact pharmacists’ willingness to prescribe PrEP in Puerto Rico."
1201 Implementing Influenza and Group A Strep Point-of-Care Testing in a Hospital-Affiliated Community Pharmacy,2025-03-22,13:00:00,15:00:00,Exhibit Hall D - Music City Center,"Objective: Assess the success of utilizing point-of-care testing (POCT) and treatment through Iowa statewide protocol in a hospital-affiliated community pharmacy. 
Background: The CDC estimates 9 to 41 million annual cases of influenza and 20,000 to 30,000 cases of group A strep.1,2 Without timely care, these illnesses can lead to complications and even death. Since most Americans live within five miles of a community pharmacy, these locations are ideal for screening and treating acute infections such as influenza and strep.3 Implementing this service into pharmacies could enhance access to care, shorten the time between symptom onset and treatment, reduce illness transmission and duration, improve antimicrobial stewardship, and further solidify community pharmacists’ roles as healthcare providers.3,4 Hospital-affiliated community pharmacies may be able to reach a larger patient population through referrals from their hospital's urgent care centers and emergency departments for evaluation and treatment of patients with uncomplicated respiratory symptoms."
1008 Efficacy and Safety of Secondary Prophylaxis (SP) for Recurrent C. difficile Infection (rCDI) in Patients Taking Concomitant Antibiotics,2025-03-22,13:00:00,15:00:00,Exhibit Hall D - Music City Center,"Treatment of initial C. difficile infection (CDI) is associated with a 7-10x increased chance of recurrence. RCDI is defined as CDI within 2-8 weeks of initial episode. Patients receiving subsequent systemic antibiotics are at high risk of rCDI. In these patients, American College of Gastroenterology (ACG) guidelines recommend CDI SP with oral vancomycin (OVP) concurrently with antibiotics, with low-quality evidence. Controversy exists over optimal dosing and duration of SP, and benefits versus potential risks, including VRE colonization and/or microbiome changes. This review investigated current efficacy and safety data of vancomycin or other antimicrobials as SP for rCDI in patients on systemic antibiotics."
1377 Effects of Low-Dose Naltrexone on Inflammatory Markers and Concomitant Steroid and Analgesic Use in Rheumatoid Arthritis Patients,2025-03-22,13:00:00,15:00:00,Exhibit Hall D - Music City Center,"This retrospective observational study aims to evaluate the effects of low-dose naltrexone (LDN) therapy on inflammatory markers—C-reactive protein (CRP) and erythrocyte sedimentation rate (ESR)—as well as side effects and concomitant corticosteroid and analgesic medication use in adult patients with rheumatoid arthritis (RA). Additionally, it seeks to assess the potential of adding LDN as an adjunctive therapy to traditional disease-modifying antirheumatic drugs (DMARDs) to reduce side effects and improve patient outcomes. Medical records from private rheumatology clinics will be reviewed for adult RA patients who have been taking LDN (1 mg to 4.5 mg orally daily) for at least six months since 2020. Inclusion criteria include patients aged 21 years or older with a confirmed RA diagnosis according to the American College of Rheumatology criteria. Exclusion criteria are current use of opioid analgesics, pregnancy or breastfeeding, significant hepatic or renal impairment, and patient records lacking pre- and post-LDN inflammatory markers. The study focuses on evaluating the effects of LDN on inflammatory markers, disease activity, corticosteroid and analgesic medication usage, and its adverse effects in RA patients. By analyzing existing patient records, the research aims to determine whether LDN therapy is associated with improvements in clinical outcomes and a reduction in the need for conventional RA medications like corticosteroids and DMARDs. The anticipated outcome is that LDN therapy will lead to reductions in inflammatory markers, decreased reliance on corticosteroids and analgesics, and fewer side effects in RA patients. Positive findings may support the integration of LDN as an adjunctive therapy in RA management, enhancing patient outcomes and reducing medication-related adverse effects. Future plans include conducting a prospective randomized study to further evaluate the efficacy and safety of LDN in RA patients."
1362 An evaluation of consumer willingness to accept healthcare recommendations from artificial-intelligence and community pharmacists.,2025-03-22,13:00:00,15:00:00,Exhibit Hall D - Music City Center,"This study aims to evaluate the willingness of community-based pharmacy consumers to accept AI-based healthcare recommendations compared to pharmacist-based healthcare recommendations. Secondary objectives of this study include evaluation of the level of trust associated with AI-based and pharmacist-based healthcare recommendations; evaluation of barriers to trust or acceptance of AI-based and pharmacist-based recommendations; and an exploration of perceptions of AI-based and pharmacist-based healthcare recommendations.

Artificial Intelligence (AI) refers to the capacity of machines to carry out or perform tasks that ordinarily require human intelligence such as sensing, learning, and decision-making. Benefits of AI include automation of repetitive tasks, faster insights from data, and fewer human errors. In the pharmaceutical setting, AI is used to detect adverse drug reactions, assist clinical decision support systems including medical error prevention, robotic dispensing systems, and predictions of future drug purchase. These benefits can be applied to allow for higher value, individualized, and reliable patient care. The potential benefits of AI are limited by the willingness to adopt and implement such technologies.

Studies have been conducted on perceptions for the adoption and implementation of AI in private practice and other health-care settings, but little is reported on the perceptions and trust of AI in community pharmacy consumers. Community pharmacies are often the first point of contact for patients seeking healthcare recommendations due to ease of access and affordability."
1195 Impact of a Drug Donation Program on Glycemic Control (A1C) in Underserved Diabetes Patients,2025-03-22,13:00:00,15:00:00,Exhibit Hall D - Music City Center,"The objective of this study is to compare the A1C value before and after utilizing the drug donation program to dispense diabetes medications. The drug donation program functions by donating unused or unneeded medications to re-dispense to indigent populations in need of financial assistance. The donation program provides medical care for individuals who are uninsured, those without prescription coverage, and patients who are in the process of establishing an assistance program. The drug donation program will ease short-term health care costs for patients applying for prescription assistance through the drug manufacturer, which will give patients long-term financial assistance for their medications. Currently, there is limited data to support how effective the drug donation program is in adherence to patient’s treatment regimen and reducing health complications in underserved population. Many of the medications dispensed through the drug donation program are used to treat diabetes. Diabetes is one of the most common chronic conditions and can cause multiple health complications if not adherent to the appropriate medication regimen. By eliminating the financial barrier of receiving medications, we can also lower the risk of diabetes complications and hospitalization. Testing for a patient’s A1C allows providers to gauge the average glucose level over three months, which can determine if a patient’s diabetes is being managed appropriately."
1244 Assessing readiness of community pharmacists to perform billable clinical services,2025-03-22,13:00:00,15:00:00,Exhibit Hall D - Music City Center,"The primary objective of this study is to assess the readiness of community pharmacists to perform billable clinical services in accordance with the Pennsylvania Department of Human Services Medical Assistance Program. The secondary objective is to assess pharmacists' willingness to bill for services and to identify strategies for overcoming barriers. 

Pharmacists are increasingly recognized as essential healthcare providers due to their expanded roles during the COVID-19 pandemic, which bridged gaps in patient care by enhancing access to testing, treatment, and vaccination services. This has led to an increased legislative push, prompting all but nine states to reimburse for pharmacists' services, despite the lack of federally recognized provider status.  In March 2024, Pennsylvania Medicaid allowed pharmacists to enroll as mid-level providers. In the community pharmacy setting, little is known about pharmacists' preparedness to deliver and willingness to bill the services eligible for reimbursement. Current literature suggests barriers in sustainable reimbursement, clear guidelines, and open communication. As a result, many community pharmacies may struggle to incorporate billing practices without sufficient training into their existing practice model."
1076 Community Pharmacy Outreach Program to Promote RSV Vaccination in Eligible Older Adults and Improve Vaccination Rates,2025-03-22,13:00:00,15:00:00,Exhibit Hall D - Music City Center,"The objective of this study is to assess the impact on RSV vaccination rates of implementing a community pharmacy-based outreach program to educate and promote RSV vaccination in eligible older adults.
Along with influenza and COVID-19, respiratory syncytial virus (RSV) is one of the most common causes of acute respiratory tract infection in adults. RSV infection occurs mostly during the winter months (the Respiratory Season). While many infections are mild, certain populations (elderly, immunocompromised) are at risk for disease progression into the lower respiratory tract, which could lead to both respiratory distress and failure. Though it’s estimated that RSV infection may account for up to 10,000 deaths annually in patients over 65, recent studies suggest that many of the elderly population are not aware of RSV or its potential complications in higher risk groups. The first two RSV vaccines were approved in 2023 and were shown to be 82-86% effective at preventing lower respiratory tract disease (LRTD) due to RSV infection. A third RSV vaccine was approved in June 2024 and has an efficacy between 78-81% at preventing LRTD. In the 2023-2024 respiratory season, it was reported that only 17% of eligible adults had received the RSV vaccination by December 9, 2023. In this same report, it was noted that 53% of eligible adults studied were either likely going to or were unsure about getting vaccinated against RSV. Although 17% leaves a majority of eligible patients unprotected against RSV, this data also suggest that many patients are open to the possibility of getting vaccinated."
1361 A Qualitative Analysis of Healthcare Provider Insights on Medications for Opioid Use Disorder,2025-03-22,13:00:00,15:00:00,Exhibit Hall D - Music City Center,"The objective of this study is to qualitatively analyze pharmacy practice-related healthcare provider “Insights” to better understand pharmacy practice-related attitudes, behaviors, and stigma toward medications for opioid use disorder (MOUD). Pharmacists play an important role in MOUD access, but pharmacist-related barriers for MOUD access include lack of trust, stigma, and fear of regulatory oversight. Logistical challenges like distributor stocking limits at community pharmacies have further compounded geographical and economic disparities in pharmacy MOUD dispensing practices. Data from prescribers, pharmacists, patients, and other healthcare professionals have characterized pharmacy practice-related barriers to MOUD in the United Stated (US). This study is the first systematic evaluation of Insights documented by field-based Medical Affairs team members for a pharmaceutical company who engage with healthcare providers in their course of work. These Insights are gathered from scientific exchange, discussions with healthcare providers during unsolicited requests for medical information and collected at medical conferences."
1309 Pilot Service of Community Pharmacist Management of Continuous Glucose Monitors in Patients with Type 2 Diabetes Not on Insulin Therapy,2025-03-22,13:00:00,15:00:00,Exhibit Hall D - Music City Center,"The objectives of this project are to: 1. Pilot a pharmacist-led intervention with over-the-counter continuous glucose monitors (CGM) in patients with type 2 diabetes mellitus (T2DM) not on insulin therapy. 2. Assess participant satisfaction and willingness of pharmacist-led service with a post-data collection survey. Background: This is a pilot project of a pharmacist-led service in a rural community with a satisfaction survey upon completion. The rationale behind this pilot service is that some patients with T2DM may have a challenging time reaching their glycemic targets with self-monitoring. Community pharmacists can be pivotal in consulting patients on CGM devices and interpreting results. By implementing a diabetes management service alongside the support of a CGM device, pharmacists can counsel on diet and nutrition in this rural population. Recommendations for the use of CGMs in patients with T2DM who are on insulin are clear, but less is established with patients who are not on insulin. With the recent availability of over-the-counter (OTC) CGMs, this valuable tool, along with education and monitoring, may benefit those with T2DM who are not on insulin in successfully managing their disease and delaying or preventing disease progression."
1188 Evaluation of New Patient Outreach on Prescription Profile Transfers to Multiple Sites of a Community Pharmacy Chain,2025-03-22,13:00:00,15:00:00,Exhibit Hall D - Music City Center,This study aims to assess the effectiveness of new patient outreach calls in facilitating patient prescription profile transfers to multiple sites of a community pharmacy chain within a specific geographic location. The secondary objective of this study is to evaluate the potential social determinants of health (SDOH) barriers of cost and transportation with obtaining medications. There is minimal research regarding methods used to attract new and loyal customers to community pharmacies. Most research focuses on maintaining patients already established at the pharmacy.
1104 A College of Pharmacy Tele-Based Approach to Addressing Health Equity,2025-03-22,13:00:00,15:00:00,Exhibit Hall D - Music City Center,"The objective of this report is to define a stepwise approach to developing a sustainable academic telehealth center that advances pharmacy practice while addressing health equity in rural areas. There appears to be a recent emergence of telehealth services due to the coronavirus disease of 2019 (COVID 19) pandemic. Using technology to assist with patient care dates back to the late 1800s and has since progressed in functionality and capability. Health care providers and organizations have long been aware of the benefits and importance of telehealth delivery models, even though the use of these services has been historically low. Recently, telehealth has met the need for socially distant care, while also opening avenues for expanded care offerings and opportunities for reimbursement. This expansion is keenly important to pharmacy practice. Many colleges of pharmacy have long been providing (and training students on) pharmacist-led health care services, such as Medication Therapy Management (MTM), but the scope and reach has been limited.  

The Xavier University Telehealth Center (XUTC) was developed to provide MTM services to rural Louisiana clinics without readily available access to a clinical pharmacist. Rural residents are often at a healthcare disadvantage due to their location, poverty rates, and lack of available health-related information. The initial focus of the telehealth center was to provide MTM to patients referred either by providers or insurance companies, to fill in the healthcare gaps that may be present. As the need for telehealth services has recently increased, the XUTC expanded its focus to also include chronic care management and remote patient monitoring."
1315 The effect of a Diabetes Self-Management Education and Support Program (DSMES) on A1c and Diabetes Distress Scales in a FQHC,2025-03-22,13:00:00,15:00:00,Exhibit Hall D - Music City Center,"The primary objective is to evaluate the effectiveness of the Diabetes Self-Management Education and Support Program (DSMES) at a Federally Qualified Health Center (FQHC) by assessing the clinical outcome of change in 3 month Hemoglobin A1c for patients with Type II Diabetes enrolled in the program. Additionally, it will evaluate the impact of  the DSMES Program on patient-specific feelings and stressors related to diabetes by analyzing the change in Diabetes Distress Scores over 3 months by utilizing the Type 2 Diabetes Distress Assessment System (T2-DDAS). 
        With a high prevalence of diabetes diagnoses and significant gaps in knowledge and education regarding the diagnosis, DSMES curriculum has continued to be utilized around the world to enhance self-care behaviors for patients with a diagnosis of diabetes to allow them to better understand and manage their condition. The DSMES curriculum is designed to focus on seven core self-care behaviors for patients including: healthy eating; being active; taking medicine as prescribed; monitoring blood sugar levels, activity, and eating habits; reducing risks to lower the chance of diabetes related complications; healthy coping with diabetes diagnosis and emotional well-being; and problem solving to find solutions and take action. These services are offered through a variety of practice sites by different members of a healthcare team, including physicians, pharmacists, dieticians, nurses, and diabetes educators. Pharmacists continue to be widely accessible resources for patients to continue to augment chronic disease state management, including diabetes. This study aims to assess the effects of a newly implemented DSMES Program within an FQHC in a rural setting taught by pharmacists and a dietician."
1203 Is there concordance in counseling? A scoping review of medication counseling content within patient education,2025-03-22,13:00:00,15:00:00,Exhibit Hall D - Music City Center,The objective of this scoping review is to evaluate the content of medication counseling within studies which examine the interpersonal counseling initiatives on clinical outcomes within the United States. Education and counseling are crucial aspects of patient care to ensure appropriate use of medications. US-based pharmacy organizations outline recommended information that should be included in patient counseling.
1337 Understanding Social and Behavioral Challenges for People with Diabetes During Ramadan Fasting in US Muslims: A Qualitative Investigation,2025-03-22,13:00:00,15:00:00,Exhibit Hall D - Music City Center,"The objectives of this study are to 1) explore social and behavioral challenges Muslim patients face managing their eating habits and diet during Ramadan; 2) discuss implications for pharmacists’ roles supporting Muslim patients in diabetes management. There are over 2 billion Muslims worldwide. In 2016, an estimated 86% of Muslims with diabetes observed fasting during Ramadan. Healthy Eating is one of the ADCES7 Self-Care Behaviors® in diabetes management."
1220 Uncovering Care Gaps: Parent Perspectives on Gaps in Type 1 Diabetes Management for Children Aged 8-12 Years in Kentucky and Southern Indiana,2025-03-22,13:00:00,15:00:00,Exhibit Hall D - Music City Center,"Type 1 Diabetes Mellitus (T1DM) is a chronic autoimmune condition resulting from the destruction of pancreatic beta cells, leading to absolute insulin deficiency. T1DM affects approximately 1.6 million people in the United States, including 200,000 children and adolescents. Proper management is crucial to prevent complications such as diabetic ketoacidosis (DKA), nephropathy, retinopathy, and cardiovascular disease, which become more likely when blood glucose is not carefully monitored from an early age. The American Diabetes Association (ADA) emphasizes individualized and comprehensive care tailored to the developmental needs of the child to prevent long-term health complications. 
While many studies focus on the biological and psychosocial aspects of T1DM management, fewer have examined how various environmental factors influence care. This research addresses that gap by applying Bronfenbrenner’s Ecological Systems Theory, which examines multiple layers of environmental influences—from immediate family interactions to broader societal factors—on diabetes management. Specifically, the objective of this study is to explore parent perceptions of these influences and identify gaps in care for children aged 8-12 years in Kentucky and Southern Indiana. The goal is to provide region-specific insights and inform tailored interventions."
1168 ACHIEVE-Cessation: A Pharmacist-Led Smoking Cessation Program Utilizing Mobile Health Units (MHU) In An Urban Underserved Population,2025-03-22,13:00:00,15:00:00,Exhibit Hall D - Music City Center,"The objective of this pilot study is to evaluate the effectiveness and impact of the ACHIEVE-Cessation care pathway through a pharmacist-led smoking cessation program delivered via mobile health units (MHU) in Detroit, Michigan. Detroit ranks as the highest prevalence of cigarette smokers in the US at 30% of the population (~150,000 adults). Electronic nicotine delivery system (ENDS) use has been continuously increasing and in 2016 the US FDA declared ENDS as tobacco products. Almost 10% of the population in Detroit is without health insurance and has limited access to healthcare. MHUs were developed to reach some of these underserved communities and provide free health services by going to churches, schools, and community organizations. Services provided via MHUs include health screenings, vaccinations, blood pressure measurement, point of care testing (hepatitis C, HIV, Covid-19), referrals to care, and education. The MHU also provides a pharmacist-led smoking cessation program for tobacco and/or ENDS users. This program was created to increase access and reduce barriers to care for adults that smoke cigarettes or (ENDS) products. The pathway was designed to reach vulnerable communities across Detroit and link adults to a comprehensive and guideline-based smoking cessation program delivered by the pharmacy team."
1388 Expert Consensus of an Emergency Response Medication-Related Preparedness Tool for Pharmacists,2025-03-22,13:00:00,15:00:00,Exhibit Hall D - Music City Center,"The objective of this research is to use expert pharmacist feedback to revise an emergency response readiness tool focused on medication-related preparedness designed for use by individual pharmacists in local emergency response. Events such as the COVID-19 pandemic exposed the need for planning tools to assist pharmacists with their role in emergency response efforts. Pharmacists are willing to collaborate with health care providers, community partners, and other public health professionals to execute emergency response strategies but may feel unprepared for emergency response at the local level. Currently, there are limited tools for pharmacists that focus on pharmacy team roles in medication-related preparedness for local humanitarian response efforts. One tool that currently exists is a checklist published in the American Pharmacists Association’s Disasters and Emergencies A Planning and Response Guide for Pharmacy Professionals. This checklist tool was adapted from the 2016 International Pharmaceutical Federation (FIP) Responding to Disasters Guidelines for Pharmacy and has not received expert consensus to date."
